Team;Dbl Dbl;Tpl Dbl;40 Pts;20 Reb;20 Ast;5 Stl;5 Blk;High Game;MOV;Techs;HOB;Ast/TO;Stl/TO;FT/FGA;W's;L's;Win %;Season
Miami;57;2;0;3;0;2;3;149;0.5;24;1.585;1.6;0.5;.173;44;38;.537;2017-2018
Memphis;57;3;0;0;0;1;5;130;-6.2;43;1.586;1.4;0.5;.201;22;60;.268;2017-2018
Portland;55;1;6;1;0;2;0;127;2.6;20;1.496;1.4;0.5;.192;49;33;.598;2017-2018
Golden State;55;7;7;0;0;0;7;143;6.0;44;1.685;1.9;0.5;.195;58;24;.707;2017-2018
Brooklyn;52;1;1;0;0;1;1;131;-3.7;21;1.619;1.5;0.4;.201;28;54;.341;2017-2018
Dallas;43;3;0;0;0;3;4;130;-3.0;34;1.594;1.8;0.6;.166;24;58;.293;2017-2018
Atlanta;43;0;1;0;0;4;0;126;-5.5;20;1.622;1.5;0.5;.185;24;58;.293;2017-2018
Boston;37;2;2;0;0;1;1;134;3.6;25;1.586;1.6;0.5;.188;55;27;.671;2017-2018
Sacramento;35;0;0;0;0;2;1;123;-7.0;9;1.556;1.6;0.6;.143;27;55;.329;2017-2018
Cleveland;114;15;7;1;0;2;1;140;3.2;23;1.567;1.7;0.5;.206;51;31;.622;2016-2017
Washington;111;3;6;0;1;6;0;135;1.8;41;1.577;1.7;0.6;.199;49;33;.598;2016-2017
Minnesota;110;3;9;3;0;5;0;130;-1.1;12;1.600;1.7;0.6;.229;31;51;.378;2016-2017
Oklahoma City;104;42;18;0;1;2;1;132;0.8;31;1.532;1.4;0.5;.220;47;35;.573;2016-2017
Houston;99;22;11;0;0;5;2;142;5.8;33;1.626;1.7;0.5;.233;55;27;.671;2016-2017
New Orleans;99;8;9;4;0;6;6;131;-2.1;15;1.582;1.8;0.6;.192;34;48;.415;2016-2017
L.A. Clippers;90;4;1;10;1;6;0;133;4.3;40;1.570;1.7;0.6;.233;51;31;.622;2016-2017
Atlanta;86;1;0;6;0;3;1;142;-0.9;34;1.621;1.5;0.5;.215;43;39;.524;2016-2017
Orlando;85;7;0;0;0;1;4;136;-6.6;23;1.580;1.7;0.5;.184;29;53;.354;2016-2017
Denver;83;9;1;1;0;4;2;140;0.5;17;1.615;1.7;0.5;.214;40;42;.488;2016-2017
Miami;79;4;0;7;0;4;4;130;1.1;33;1.544;1.6;0.5;.177;41;41;.500;2016-2017
Detroit;78;1;0;7;0;3;1;136;-1.1;21;1.530;1.8;0.6;.157;37;45;.451;2016-2017
Sacramento;69;3;4;1;0;1;1;129;-3.9;32;1.594;1.5;0.5;.220;32;50;.390;2016-2017
Phoenix;68;1;4;3;0;4;2;137;-5.6;53;1.491;1.3;0.5;.231;24;58;.293;2016-2017
Utah;68;7;0;2;0;0;8;127;3.9;13;1.544;1.5;0.5;.215;51;31;.622;2016-2017
Chicago;67;4;5;0;0;5;2;128;0.4;30;1.584;1.7;0.6;.206;41;41;.500;2016-2017
Memphis;63;3;1;0;0;7;3;130;0.5;20;1.584;1.6;0.6;.219;43;39;.524;2016-2017
Charlotte;62;2;1;0;0;2;1;123;0.2;15;1.611;2.0;0.6;.227;36;46;.439;2016-2017
Indiana;62;2;1;0;0;7;4;130;-0.2;19;1.572;1.6;0.6;.212;42;40;.512;2016-2017
Golden State;60;12;8;0;0;9;7;149;11.6;42;1.705;2.1;0.6;.204;67;15;.817;2016-2017
Philadelphia;58;4;0;0;0;3;4;124;-5.7;22;1.631;1.4;0.5;.199;28;54;.341;2016-2017
New York;57;4;1;0;0;6;7;139;-3.7;26;1.551;1.6;0.5;.188;31;51;.378;2016-2017
San Antonio;57;1;1;0;0;6;1;134;7.2;7;1.606;1.8;0.6;.210;61;21;.744;2016-2017
Toronto;57;1;8;1;0;3;3;132;4.2;38;1.472;1.5;0.7;.233;51;31;.622;2016-2017
Milwaukee;55;6;1;0;0;3;4;137;-0.2;21;1.624;1.7;0.6;.210;42;40;.512;2016-2017
Portland;54;2;6;1;0;1;4;131;-0.5;22;1.534;1.5;0.5;.214;41;41;.500;2016-2017
L.A. Lakers;45;3;2;1;0;5;1;130;-6.9;28;1.532;1.4;0.5;.195;26;56;.317;2016-2017
Boston;42;0;5;0;0;5;2;130;2.6;41;1.653;1.9;0.6;.220;53;29;.646;2016-2017
Brooklyn;41;0;0;0;0;0;5;143;-6.7;15;1.566;1.3;0.4;.228;20;62;.244;2016-2017
Dallas;20;0;0;0;0;3;0;122;-2.9;24;1.574;1.8;0.6;.180;33;49;.402;2016-2017
Oklahoma City;126;24;7;2;0;6;7;139;7.3;37;1.558;1.4;0.5;.228;55;27;.671;2015-2016
Sacramento;112;15;4;2;2;8;2;142;-2.5;42;1.612;1.5;0.6;.214;33;49;.402;2015-2016
Washington;107;9;1;1;0;8;2;129;-0.5;31;1.619;1.7;0.6;.192;41;41;.500;2015-2016
L.A. Clippers;105;9;3;7;0;8;5;140;4.3;47;1.596;1.8;0.7;.220;53;29;.646;2015-2016
Cleveland;92;3;0;0;0;1;0;125;6.0;20;1.587;1.7;0.5;.194;57;25;.695;2015-2016
Detroit;90;2;1;9;0;1;3;147;0.6;39;1.512;1.4;0.5;.197;44;38;.537;2015-2016
Miami;90;12;0;1;0;2;23;129;1.6;26;1.543;1.5;0.5;.210;48;34;.585;2015-2016
Minnesota;88;3;0;1;0;6;4;144;-3.5;15;1.619;1.6;0.5;.263;29;53;.354;2015-2016
Brooklyn;84;6;1;0;0;8;5;131;-7.4;14;1.583;1.5;0.5;.186;21;61;.256;2015-2016
Chicago;81;6;3;0;0;2;6;144;-1.5;22;1.591;1.6;0.4;.189;42;40;.512;2015-2016
Houston;80;6;12;2;0;8;3;132;0.2;35;1.589;1.4;0.6;.244;41;41;.500;2015-2016
Orlando;80;4;1;0;0;9;2;139;-1.6;17;1.596;1.7;0.6;.175;35;47;.427;2015-2016
Milwaukee;78;6;0;0;0;8;5;128;-4.2;33;1.603;1.5;0.5;.207;33;49;.402;2015-2016
New Orleans;77;2;3;2;0;4;3;130;-3.8;17;1.577;1.6;0.6;.201;30;52;.366;2015-2016
Phoenix;77;1;0;2;0;4;0;124;-6.7;33;1.558;1.2;0.4;.204;23;59;.280;2015-2016
New York;71;3;0;1;0;1;8;128;-2.7;27;1.557;1.5;0.4;.205;32;50;.390;2015-2016
Golden State;69;19;17;0;0;10;6;136;10.8;32;1.680;1.9;0.6;.191;73;9;.890;2015-2016
Denver;66;3;0;1;0;3;1;129;-3.1;26;1.601;1.5;0.5;.216;33;49;.402;2015-2016
San Antonio;63;2;0;0;0;4;6;130;10.6;8;1.611;1.9;0.6;.197;67;15;.817;2015-2016
Dallas;63;2;1;1;0;3;1;132;-0.3;37;1.592;1.7;0.5;.211;42;40;.512;2015-2016
Atlanta;62;8;0;0;0;7;7;127;3.6;17;1.663;1.7;0.6;.185;48;34;.585;2015-2016
Portland;60;0;4;0;0;3;2;137;0.8;17;1.552;1.5;0.5;.202;44;38;.537;2015-2016
Utah;59;9;0;0;0;4;11;123;1.8;17;1.526;1.3;0.5;.213;40;42;.488;2015-2016
Boston;56;2;0;1;0;7;0;139;3.2;38;1.616;1.8;0.7;.208;48;34;.585;2015-2016
Toronto;55;3;2;2;0;3;6;122;4.5;29;1.511;1.4;0.6;.255;56;26;.683;2015-2016
Memphis;53;3;0;0;0;4;1;128;-2.2;38;1.562;1.6;0.7;.231;42;40;.512;2015-2016
Indiana;52;0;3;0;0;6;3;129;1.7;15;1.554;1.4;0.6;.205;45;37;.549;2015-2016
Philadelphia;51;4;0;0;0;6;5;116;-10.2;11;1.594;1.3;0.5;.186;10;72;.122;2015-2016
L.A. Lakers;47;1;2;1;0;3;1;122;-9.6;19;1.513;1.3;0.5;.228;17;65;.207;2015-2016
